Nome Completo do Arquivo, Nome do Jogo, Tamanho, CRC, MD5, SHA1
Challenge (Canada).zip, Challenge, 3209, A171AF7E, f138d9026976391dd6df4dc57b5580cb, 1d5ebc6ea9ed3bfbf3619b43880bd655e8e3d619
Challenge of.... NEXAR, The (USA).zip, Challenge of, 2860, B34FA48E, 7354d5d7a3898521179b07bae2841057, a0e48b1bd433479cc12dcff736ab0b2a5b805cae
Championship Soccer ~ Soccer (USA).zip, Championship Soccer ~ Soccer, 3450, 55BC545A, 9af71349273145be4b0b54a658dbdab5, 23951895019b14471b43a9d38ae0db3b140ff9ea
Chase the Chuck Wagon (USA).zip, Chase the Chuck Wagon, 2809, C524FC95, 706646711f63babf0c9039cab3955b06, 2d7cb8f3b530473da3c6eae5488675ca7dfd6b9e
Checkers (USA).zip, Checkers, 1826, 5ADF4F93, 9ed9142588963893ba78803a00378b53, d74137c1aa92b65ef91b42be3271aee51f980de1
China Syndrome (USA).zip, China Syndrome, 3013, E434F44E, a2617ce7e19b3d229724e0a571909fa1, e1ebd5dd4df0cb5b8b84c1c6b89f556d97bd2d5a
Chopper Command (USA).zip, Chopper Command, 3644, EBB948D4, d02beb486fdd53e9418c2cfc2873be48, 2d45f7d43f44fb54203474fc5c5120b68d4cdcf6
Chuck Norris Superkicks (USA).zip, Chuck Norris Superkicks, 5389, 53726E98, 4a60eb18c502d3322d34d461b666b6e1, eca3eeacfde9d3eece220c1ca72ad872b39ee7a6
Circus Atari (Japan, USA).zip, Circus Atari, 2549, 7314716D, 8be5df16d1a4477c48f6a7bea1f15a0c, 2c826a441ffefdd461bc56e3459d71f40ff02118
Coco Nuts (USA).zip, Coco Nuts, 2995, 04A057F4, c1611fa928cacb54479e90e82f135176, 84353d03dfc79ad86c09174d585ce1a7e6390ed3
Codebreaker (USA).zip, Codebreaker, 1793, 037428EB, 2826faed8c961e4ab59ed8a86c4cded7, d60e9fa274d92c5b10f9ceb61fa0784ee9585e5a
Color Bar Generator (USA).zip, Color Bar Generator, 2729, 447C0B6B, 1265abed5206ee4ea3cf0b76240bc1ba, 5d7011155524365c5150e34c5f8e2d48aa72d547
Colors (Europe) (Proto).zip, Colors, 396, D9CAE33F, 29c126c98b256ee9e5f12a79a8fa130a, 603f3b7556b0bab85dd7e31b8df05f6e5296e33d
Combat Two (USA) (Proto).zip, Combat Two, 4418, F067775C, b1476de4f233390d95c80adaab5264d1, b3595bbbec22065c14e8227991b75d5b1a13257c
